,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,MMM,10.15682,20.984732,3.53441,1.61734,7.41083,43.16652,42.75931,16.32616,12.19026,18.3632,15.45262,36.08575,11.77041,14.9727,1.41749,50.9725,84.63851,104.3274,0.0,0.0,551672217.0,543.7526,54069.39,6.63813
1,AAON,41.83334,0.444053,8.1292,5.1017,31.4968,27.64098,29.01039,12.25665,13.8423,15.22238,16.62173,21.86753,15.02878,17.87043,2.78651,12.88336,14.78863,14.78863,61.59102,4.45997,54252713.0,42.26687,4958.698,18.32341
2,AIR,20.80097,0.664735,1.7108,0.9547,15.44057,18.38708,18.09633,4.73005,4.18346,6.69524,6.4479,8.57389,5.61188,7.09637,3.22014,14.8089,17.38316,17.38316,7.39826,10.91954,34706813.0,33.39945,1826.62,1.89567
3,ABB,23.44675,0.0,5.57976,2.37919,18.72979,33.50363,34.5591,10.0824,13.55134,12.12261,15.24367,23.11376,7.43288,13.49301,1.15282,40.13807,42.77419,70.85139,4.58823,0.44734,1964745075.0,1729.318,72184.6,0.0
4,ABM,15.16354,0.281772,1.6588,0.36645,9.3475,12.89814,12.12776,2.45497,1.93341,3.99664,3.5856,11.37483,4.0964,5.61144,1.29774,44.36791,69.30032,79.75238,17.82444,0.0,66105992.0,65.40725,2880.899,4.50724
5,EPAC,48.13245,0.0,4.09687,2.38665,29.26786,48.55093,49.56819,5.10235,5.04227,7.87093,9.84221,7.92029,3.74402,4.55438,2.47729,38.04328,60.66939,61.40298,5.21258,1.84959,57180193.0,29.87898,1396.34,0.0
6,AYI,13.61467,0.770216,2.54316,1.20005,10.39845,42.08735,43.10089,9.22089,8.8173,12.46717,11.81645,18.71715,10.73765,13.25179,2.33691,20.27508,25.4313,25.4313,10.323,0.0,31798338.0,31.73792,4935.102,8.14742
7,ATXG,360.8411,0.0,1.06833,2.87962,76.05238,22.83419,28.62353,0.55829,0.0,0.0,0.0,0.46386,0.23807,0.39825,3.20769,0.59997,0.0,0.60359,0.0,0.0,35454670.0,29.05816,27.3781,0.0
8,ADT,11860.0,118.403687,1.64894,0.84559,3.33422,68.37216,68.12108,0.59653,0.0,8.15407,2.64967,0.94848,0.2231,0.24887,0.81288,74.80341,282.863,296.8791,16.5087,0.0,866839221.0,788.4484,5464.992,0.0
9,WMS,15.46198,0.160771,6.34698,2.22606,11.38815,34.68401,34.17709,14.94395,12.59877,21.53608,19.0008,48.7433,16.83049,19.52442,3.12565,53.98074,117.1642,119.182,23.54346,0.0,81233409.0,55.48513,6971.451,20.54142
