,Unnamed: 0,peRatio,pegRatio,pbRatio,prRatio,pcfRatio,grossMarginTTM,grossMarginMRQ,netProfitMarginTTM,netProfitMarginMRQ,operatingMarginTTM,operatingMarginMRQ,returnOnEquity,returnOnAssets,returnOnInvestment,currentRatio,totalDebtToCapital,ltDebtToEquity,totalDebtToEquity,revChangeTTM,revChangeIn,sharesOutstanding,marketCapFloat,marketCap,bookValuePerShare
0,ALE,19.16041,0.0,1.28527,1.99254,9.35207,0.0,0.0,6.9859,6.65605,7.3683,8.55019,7.01673,1.84608,2.24523,1.22674,36.52261,64.64739,71.14344,19.71985,32.66792,57316155.0,56.94442,3491.127,3.06193
1,LNT,20.40738,0.0,2.11622,3.1786,10.09151,37.9666,36.97318,15.57085,15.13463,21.40992,20.61281,10.57638,3.3573,3.68022,0.62474,58.85031,128.5082,143.0152,9.82795,1.79584,251387788.0,250.653,13391.43,5.69881
2,AMPS,14.47208,0.018341,1.82472,7.70224,9.58521,82.66955,82.47646,51.56727,250.6576,15.63022,0.0,15.08987,4.18989,4.50991,3.15221,58.93487,149.6349,156.699,40.89554,0.0,158987942.0,67.65637,779.1815,0.0
3,AEE,20.02921,2.943576,2.06772,2.69449,8.5844,41.38821,38.70029,13.40295,12.8516,18.85749,17.02231,10.64028,2.93829,3.20406,0.74791,59.12431,133.6947,146.4033,21.36574,0.78201,262609472.0,257.4849,21933.14,6.25482
4,AEP,22.80364,0.0,1.90527,2.29752,8.59074,40.60824,41.20474,10.60301,8.10505,16.20951,15.02484,8.35201,2.27047,2.65445,0.61784,64.03032,152.2984,179.7296,15.40211,0.0,514790910.0,513.7026,45347.93,4.60714
5,AWR,33.79773,3.226049,4.54129,6.09684,23.43828,43.26556,44.90113,18.11985,21.31481,28.18541,31.69623,13.87392,4.96394,5.62624,0.454,51.54116,82.29221,106.3607,11.01592,28.76036,36976400.0,36.65075,3319.002,5.84891
6,AWK,31.79283,0.0,2.95013,7.24407,18.83942,0.0,0.0,21.39918,18.12367,34.49074,31.44989,9.78421,3.08262,3.29897,0.70719,54.01474,109.846,117.461,0.10299,0.75188,194643611.0,180.9477,28164.93,6.98827
7,ARIS,32.95683,0.169676,1.63789,1.49636,5.7776,33.78132,31.80046,5.59773,8.41751,14.89273,18.23285,2.78866,1.54749,2.43969,1.28678,39.70314,139.5098,139.5098,34.47296,10.49958,30073594.0,25.57462,511.1618,0.0
8,ARTNA,30.34195,270.886082,2.76633,5.27436,17.45365,0.0,0.0,17.358,16.47033,29.22635,23.88531,9.31566,2.49829,2.68417,0.4963,51.41699,93.19231,105.8333,7.46823,0.0,8628221.0,8.49158,523.243,4.44174
9,ATO,19.92986,1.977814,1.64218,3.67198,11.98376,42.76986,44.13095,18.17953,23.21072,21.99396,27.4267,8.64291,3.89696,4.3371,0.96416,39.10908,64.21328,64.2281,18.96231,3.83852,144487306.0,139.2445,16759.08,12.71595
10,AGR,21.9804,0.0,0.76627,1.81051,8.72594,31.4438,29.6837,7.37645,8.71857,9.87161,10.74615,3.52047,1.50372,1.70955,0.68709,32.66358,42.25663,51.0022,15.61406,14.27247,386640918.0,70.75031,14947.54,0.54076
11,AVA,23.21366,0.0,1.36673,1.89234,8.27001,0.0,0.0,8.03672,11.55529,10.67302,16.13906,5.99557,1.91901,2.10046,1.08454,54.59156,109.9731,120.2234,15.77032,0.0,75763513.0,73.17846,3260.104,3.35597
12,BKH,16.47211,0.0,1.37692,1.61077,8.21947,0.0,0.0,10.08204,12.74264,17.24063,18.9851,8.54107,2.87362,3.22518,0.88392,58.393,127.6461,144.5928,23.84796,16.3904,66660004.0,64.68373,4267.573,7.25605
13,BIPC,4.68675,0.014508,0.0,2.71591,2.79902,82.44963,78.86179,85.84305,134.5529,67.60339,65.2439,0.0,15.97908,40.61207,0.33823,108.5101,0.0,0.0,14.79002,8.37004,110567671.0,110.5348,5122.208,0.0
14,BEPC,8.49773,0.144333,2.17473,1.60923,2.00716,68.92536,69.24686,48.96771,112.7615,81.07464,138.4937,31.50943,4.33895,7.78308,0.47249,45.55868,217.1633,239.7242,12.20671,6.69643,172229046.0,172.1688,6079.686,0.0
15,CWT,41.2504,0.127251,2.40233,3.87639,16.38405,63.34331,51.95576,8.95359,0.0,12.95899,0.0,5.90492,1.91427,2.09284,0.76871,47.64225,81.06149,91.32958,0.0,0.0,55991000.0,54.30297,3118.704,10.22784
16,CNP,22.7831,0.0,1.90902,1.95587,8.72944,0.0,0.0,9.11428,11.69485,17.45743,19.46743,8.57585,2.33298,2.61047,0.99651,61.44166,152.4044,159.3472,8.97526,2.5083,631029243.0,628.7014,18261.99,7.96101
17,EBR.B,152.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279941394.0,0.0,0.0,0.0
18,EBR,135.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021139464.0,0.0,0.0,0.0
19,CEPU,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514022256.0,0.0,0.0,0.0
20,CPK,24.70473,7.853068,2.56181,3.25398,13.8872,38.42163,36.88505,13.19722,16.6617,21.15295,25.17547,10.72135,4.14225,4.71909,0.64634,47.3401,76.43759,89.89783,12.34782,16.45907,17789856.0,17.248,2199.538,9.54809
21,CWEN.A,5.69567,0.001524,2.81182,3.89514,2.72014,67.16772,62.5,88.37025,0.0,123.8133,14.58333,31.41468,8.80325,11.27144,2.02038,63.15836,315.2771,332.3242,0.07918,7.46269,34613853.0,73.08307,4923.46,3.1884
